number,player,position,ht,wt,DOB,country,exp,college,team
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us,R,Arizona,DEN
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si,1,,DEN
0,Markus Howard,SG,5-10,175,"March 3, 1999",us,R,Marquette,DEN
10,Bol Bol,PF,7-2,220,"November 16, 1999",sd,1,Oregon,DEN
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",us,6,Arizona,DEN
34,JaVale McGee,C,7-0,270,"January 19, 1988",us,12,Nevada,DEN
3,Shaquille Harrison,G,6-7,190,"October 6, 1993",us,3,Tulsa,DEN
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,4,,LAC
1,Reggie Jackson,SG,6-2,208,"April 16, 1990",it,9,Boston College,LAC
33,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr,12,,LAC
14,Terance Mann,SG,6-5,215,"October 18, 1996",us,1,Florida State,LAC
5,Luke Kennard,SG,6-5,206,"June 24, 1996",us,3,Duke,LAC
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,9,San Diego State,LAC
8,Marcus Morris,PF,6-8,218,"September 2, 1989",us,9,Kansas,LAC
13,Paul George,SF,6-8,220,"May 2, 1990",us,10,Fresno State,LAC
9,Serge Ibaka,C,6-10,235,"September 18, 1989",cg,11,,LAC
7,Amir Coffey,SG,6-7,210,"June 17, 1997",us,1,Minnesota,LAC
21,Patrick Beverley,PG,6-1,180,"July 12, 1988",us,8,Arkansas,LAC
54,Patrick Patterson,PF,6-8,235,"March 14, 1989",us,10,Kentucky,LAC
10,Daniel Oturu,C,6-8,240,"September 20, 1999",us,R,Minnesota,LAC
4,Rajon Rondo,PG,6-1,180,"February 22, 1986",us,14,Kentucky,LAC
15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us,9,Kentucky,LAC
24,Malik Fitts,PF,6-8,230,"July 4, 1997",us,R,"South Florida, Saint Mary's",LAC
NA,Jay Scrubb,SG,6-5,220,"September 1, 2000",us,R,John A. Logan College,LAC
22,Andrew Wiggins,PF,6-7,197,"February 23, 1995",ca,6,Kansas,GSW
1,Damion Lee,SG,6-5,210,"October 21, 1992",us,3,"Drexel, Louisville",GSW
26,Kent Bazemore,SF,6-4,195,"July 1, 1989",us,8,Old Dominion,GSW
12,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,5,Kansas,GSW
30,Stephen Curry,PG,6-3,185,"March 14, 1988",us,11,Davidson,GSW
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,8,Michigan State,GSW
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,5,UCLA,GSW
15,Mychal Mulder,PG,6-3,184,"June 12, 1994",ca,1,"Vincennes, Kentucky",GSW
95,Juan Toscano-Anderson,SG,6-6,209,"April 10, 1993",us,1,Marquette,GSW
33,James Wiseman,C,7-0,240,"March 31, 2001",us,R,Memphis,GSW
7,Eric Paschall,PF,6-6,255,"November 4, 1996",us,1,"Fordham, Villanova",GSW
3,Jordan Poole,SG,6-4,194,"June 19, 1999",us,1,Michigan,GSW
2,Nico Mannion,PG,6-2,190,"March 14, 2001",it,R,Arizona,GSW
6,Alen Smailagić,PF,6-10,215,"August 18, 2000",rs,1,,GSW
0,Gary Payton II,PG,6-3,190,"December 1, 1992",us,4,Oregon State,GSW
NA,Klay Thompson,SG,6-6,215,"February 8, 1990",us,8,Washington State,GSW
34,Kenrich Williams,PF,6-6,210,"December 2, 1994",us,2,TCU,OKC
11,Théo Maledon,PG,6-4,175,"June 12, 2001",fr,R,,OKC
22,Isaiah Roby,PF,6-8,230,"February 3, 1998",us,1,Nebraska,OKC
5,Luguentz Dort,SG,6-3,215,"April 19, 1999",ca,1,Arizona State,OKC
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,,OKC
2,Shai Gilgeous-Alexander,SG,6-6,180,"July 12, 1998",ca,2,Kentucky,OKC
33,Mike Muscala,C,6-10,240,"July 1, 1991",us,7,Bucknell,OKC
17,Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",rs,R,,OKC
42,Al Horford,C,6-9,240,"June 3, 1986",do,13,Florida,OKC
9,Moses Brown,C,7-2,245,"October 13, 1999",us,1,UCLA,OKC
16,Ty Jerome,SG,6-5,195,"July 8, 1997",us,1,Virginia,OKC
14,Sviatoslav Mykhailiuk,SG,6-7,205,"June 10, 1997",ua,2,Kansas,OKC
15,Josh Hall,SF,6-9,190,"October 8, 2000",us,R,,OKC
13,Tony Bradley,C,6-10,248,"January 8, 1998",us,3,UNC,OKC
8,Jaylen Hoard,SF,6-8,216,"March 30, 1999",fr,1,Wake Forest,OKC
3,Justin Robinson,PG,6-1,195,"October 12, 1997",us,1,Virginia Tech,OKC
NA,Gabriel Deck,F,6-8,232,"February 8, 1995",ar,R,,OKC
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us,R,Georgia,MIN
11,Naz Reid,C,6-9,264,"August 26, 1999",us,1,LSU,MIN
9,Ricky Rubio,PG,6-3,190,"October 21, 1990",es,9,,MIN
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us,R,Washington,MIN
8,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",us,2,Kentucky,MIN
20,Josh Okogie,SG,6-4,213,"September 1, 1998",ng,2,Georgia Tech,MIN
10,Jake Layman,SF,6-8,209,"March 7, 1994",us,4,Maryland,MIN
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us,1,Washington,MIN
41,Juan Hernangómez,PF,6-9,214,"September 28, 1995",es,4,,MIN
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us,4,Florida State,MIN
6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us,1,USC,MIN
32,Karl-Anthony Towns,C,6-11,248,"November 15, 1995",us,5,Kentucky,MIN
23,Jarrett Culver,SG,6-6,195,"February 20, 1999",us,1,Texas Tech,MIN
0,D'Angelo Russell,PG,6-4,193,"February 23, 1996",us,5,Ohio State,MIN
17,Ed Davis,C,6-9,218,"June 5, 1989",us,10,UNC,MIN
41,Saddiq Bey,SF,6-7,215,"April 9, 1999",us,R,Villanova,DET
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us,R,Washington,DET
20,Josh Jackson,SG,6-8,207,"February 10, 1997",us,3,Kansas,DET
24,Mason Plumlee,C,6-11,254,"March 5, 1990",us,7,Duke,DET
9,Jerami Grant,SF,6-8,210,"March 12, 1994",us,6,Syracuse,DET
45,Sekou Doumbouya,PF,6-8,230,"December 23, 2000",gn,1,,DET
8,Wayne Ellington,SG,6-4,207,"November 29, 1987",us,11,UNC,DET
38,Saben Lee,PG,6-2,183,"June 23, 1999",us,R,Vanderbilt,DET
5,Frank Jackson,PG,6-3,205,"May 4, 1998",us,2,Duke,DET
0,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us,3,NC State,DET
13,Jahlil Okafor,C,6-10,270,"December 15, 1995",us,5,Duke,DET
17,Rodney McGruder,SG,6-4,205,"July 29, 1991",us,4,Kansas State,DET
25,Tyler Cook,SF,6-8,255,"September 23, 1997",us,1,Iowa,DET
91,Deividas Sirvydis,SG,6-8,190,"June 10, 2000",lt,R,,DET
18,Cory Joseph,PG,6-3,200,"August 20, 1991",ca,9,Texas,DET
7,Killian Hayes,PG,6-5,195,"July 27, 2001",us,R,,DET
6,Hamidou Diallo,SF,6-5,202,"July 31, 1998",us,2,Kentucky,DET
11,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us,7,Michigan,DAL
13,Jalen Brunson,PG,6-1,190,"August 31, 1996",us,2,Villanova,DAL
77,Luka Dončić,PG,6-7,230,"February 28, 1999",si,2,,DAL
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,7,Michigan,DAL
0,Josh Richardson,SG,6-5,200,"September 15, 1993",us,5,Tennessee,DAL
10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,4,Florida,DAL
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca,6,Stanford,DAL
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de,3,,DAL
6,Kristaps Porziņģis,C,7-3,240,"August 2, 1995",lv,4,,DAL
33,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us,5,Kentucky,DAL
8,Josh Green,SG,6-5,200,"November 16, 2000",au,R,Arizona,DAL
51,Boban Marjanović,C,7-4,290,"August 15, 1988",rs,5,,DAL
14,Nate Hinton,SG,6-5,210,"June 8, 1999",us,R,Houston,DAL
1,Tyrell Terry,PG,6-2,160,"September 28, 2000",us,R,Stanford,DAL
2,Tyler Bey,SF,6-7,215,"February 10, 1998",us,R,Colorado,DAL
44,Nicolò Melli,PF,6-9,236,"January 26, 1991",it,1,,DAL
17,J.J. Redick,SG,6-3,200,"June 24, 1984",us,14,Duke,DAL
8,Justin Holiday,SG,6-6,180,"April 5, 1989",us,7,Washington,IND
3,Aaron Holiday,PG,6-0,185,"September 30, 1996",us,2,UCLA,IND
11,Domantas Sabonis,PF,6-11,240,"May 3, 1996",us,4,Gonzaga,IND
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us,5,"Duquesne, Arizona",IND
20,Doug McDermott,PF,6-7,225,"January 3, 1992",us,6,Creighton,IND
7,Malcolm Brogdon,PG,6-5,229,"December 11, 1992",us,4,Virginia,IND
33,Myles Turner,C,6-11,250,"March 24, 1996",us,5,Texas,IND
5,Edmond Sumner,SG,6-4,196,"December 31, 1995",us,3,Xavier,IND
88,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,1,,IND
26,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us,8,UConn,IND
14,JaKarr Sampson,PF,6-7,214,"March 20, 1993",us,5,St. John's,IND
22,Caris LeVert,SG,6-6,205,"August 25, 1994",us,4,Michigan,IND
21,Kelan Martin,SF,6-5,230,"August 3, 1995",us,1,Butler,IND
2,Cassius Stanley,SG,6-5,190,"August 18, 1999",us,R,Duke,IND
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca,1,Syracuse,IND
10,Brian Bowen,SF,6-6,190,"October 2, 1998",us,1,,IND
1,T.J. Warren,SF,6-8,220,"September 5, 1993",us,6,NC State,IND
3,Kevin Huerter,SG,6-7,190,"August 27, 1998",us,2,Maryland,ATL
18,Solomon Hill,PF,6-6,226,"March 18, 1991",us,7,Arizona,ATL
11,Trae Young,PG,6-1,180,"September 19, 1998",us,2,Oklahoma,ATL
15,Clint Capela,C,6-10,240,"May 18, 1994",ch,6,,ATL
20,John Collins,PF,6-9,235,"September 23, 1997",us,3,Wake Forest,ATL
19,Tony Snell,SG,6-6,213,"November 10, 1991",us,7,New Mexico,ATL
8,Danilo Gallinari,PF,6-10,233,"August 8, 1988",it,11,,ATL
0,Brandon Goodwin,PG,6-0,180,"October 2, 1995",us,2,"Central Florida, Florida Gulf Coast",ATL
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,R,USC,ATL
13,Bogdan Bogdanović,SG,6-6,220,"August 18, 1992",rs,3,,ATL
22,Cam Reddish,SF,6-8,218,"September 1, 1999",us,1,Duke,ATL
4,Skylar Mays,SG,6-4,205,"September 5, 1997",us,R,LSU,ATL
24,Bruno Fernando,C,6-9,240,"August 15, 1998",ao,1,Maryland,ATL
1,Nathan Knight,PF,6-10,253,"September 20, 1997",us,R,William & Mary,ATL
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,1,Virginia,ATL
6,Lou Williams,PG,6-1,175,"October 27, 1986",us,15,,ATL
NA,Kris Dunn,PG,6-3,205,"March 18, 1994",us,4,Providence,ATL
14,Danny Green,SF,6-6,215,"June 22, 1987",us,11,UNC,PHI
39,Dwight Howard,C,6-10,265,"December 8, 1985",us,16,,PHI
22,Matisse Thybulle,SG,6-5,201,"March 4, 1997",us,1,Washington,PHI
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us,9,Tennessee,PHI
25,Ben Simmons,PG,6-11,240,"July 20, 1996",au,3,LSU,PHI
18,Shake Milton,SG,6-5,205,"September 26, 1996",us,2,SMU,PHI
0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",us,R,Kentucky,PHI
30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr,3,,PHI
31,Seth Curry,SG,6-2,185,"August 23, 1990",us,6,"Liberty, Duke",PHI
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm,4,Kansas,PHI
1,Mike Scott,PF,6-7,237,"July 16, 1988",us,8,Virginia,PHI
7,Isaiah Joe,SG,6-4,165,"July 2, 1999",us,R,Arkansas,PHI
44,Paul Reed,PF,6-9,210,"June 14, 1999",us,R,DePaul,PHI
9,Rayjon Tucker,PG,6-3,209,"September 24, 1997",us,1,"Florida Gulf Coast, Little Rock",PHI
43,Anthony Tolliver,F-C,6-8,240,"June 1, 1985",us,12,Creighton,PHI
NA,George Hill,G,6-4,188,"May 4, 1986",us,12,IUPUI,PHI
7,Jaylen Brown,SG,6-6,223,"October 24, 1996",us,4,California,BOS
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us,3,Duke,BOS
11,Payton Pritchard,SG,6-1,195,"January 28, 1998",us,R,Oregon,BOS
12,Grant Williams,PF,6-6,236,"November 30, 1998",us,1,Tennessee,BOS
44,Robert Williams,C,6-8,237,"October 17, 1997",us,2,Texas A&M,BOS
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us,3,"Duke, SMU",BOS
13,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca,9,Texas,BOS
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us,6,Oklahoma State,BOS
8,Kemba Walker,PG,6-0,184,"May 8, 1990",us,9,UConn,BOS
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,R,Vanderbilt,BOS
4,Carsen Edwards,SG,5-11,200,"March 12, 1998",us,1,Purdue,BOS
51,Tremont Waters,PG,5-10,175,"January 10, 1998",us,1,LSU,BOS
99,Tacko Fall,C,7-5,311,"December 10, 1995",sn,1,Central Florida,BOS
20,Moritz Wagner,C,6-11,245,"April 26, 1997",de,2,Michigan,BOS
40,Luke Kornet,C,7-2,250,"July 15, 1995",us,3,Vanderbilt,BOS
45,Romeo Langford,SG,6-4,216,"October 25, 1999",us,1,Indiana,BOS
94,Evan Fournier,SG,6-7,205,"October 29, 1992",fr,8,,BOS
